05/01/23,609.32
06/01/23,611.78
07/01/23,612.70
08/01/23,616.02
09/01/23,620.86
10/01/23,624.40
11/01/23,624.31
12/01/23,625.97
01/01/24,632.82
02/01/24,637.97
03/01/24,640.68
04/01/24,641.19
05/01/24,640.49
06/01/24,642.02
07/01/24,645.91
08/01/24,647.43
09/01/24,649.55
10/01/24,653.55
11/01/24,656.24
12/01/24,658.12
01/01/25,664.15
02/01/25,670.00
03/01/25,671.83
04/01/25,672.28
05/01/25,675.37
06/01/25,678.38
07/01/25,696.57
08/01/25,711.20
09/01/25,713.75
10/01/25,717.31
11/01/25,720.31
12/01/25,721.87
01/01/26,728.08
02/01/26,732.32
03/01/26,734.97
